frame,layer,target_class,confidence,concentration,gt_overlap
10-1_10_Video2_00039.jpg,L11_MSCA,Skeleton,0.8131,0.3806,0.0964
10-1_10_Video2_00039.jpg,L15_C2CA,Skeleton,0.8131,0.5975,0.1306
10-1_10_Video2_00039.jpg,L19_C2Triplet,Skeleton,0.8131,0.1321,0.0243
10-1_10_Video2_00039.jpg,L23_C2Triplet,Skeleton,0.8131,0.5197,0.0153
10-1_10_Video2_00039.jpg,L27_MSCA,Skeleton,0.8131,0.2186,0.0164
10-1_10_Video2_00039.jpg,L11_MSCA,Muscle,0.7894,0.3886,0.0063
10-1_10_Video2_00039.jpg,L15_C2CA,Muscle,0.7894,0.5946,0.1128
10-1_10_Video2_00039.jpg,L19_C2Triplet,Muscle,0.7894,0.1115,0.0035
10-1_10_Video2_00039.jpg,L23_C2Triplet,Muscle,0.7894,0.6482,0.0505
10-1_10_Video2_00039.jpg,L27_MSCA,Muscle,0.7894,0.356,0.0185
10-1_10_Video2_00057.jpg,L11_MSCA,Muscle,0.9212,0.4844,0.1803
10-1_10_Video2_00057.jpg,L15_C2CA,Muscle,0.9212,0.2863,0.0247
10-1_10_Video2_00057.jpg,L19_C2Triplet,Muscle,0.9212,0.4014,0.0781
10-1_10_Video2_00057.jpg,L23_C2Triplet,Muscle,0.9212,0.5441,0.1699
10-1_10_Video2_00057.jpg,L27_MSCA,Muscle,0.9212,0.5425,0.1763
10-1_10_Video6_00103.jpg,L11_MSCA,IntervertebralDisc,0.8983,0.3165,0.3073
10-1_10_Video6_00103.jpg,L15_C2CA,IntervertebralDisc,0.8983,0.4066,0.24
10-1_10_Video6_00103.jpg,L19_C2Triplet,IntervertebralDisc,0.8983,0.2221,0.225
10-1_10_Video6_00103.jpg,L23_C2Triplet,IntervertebralDisc,0.8983,0.5015,0.0942
10-1_10_Video6_00103.jpg,L27_MSCA,IntervertebralDisc,0.8983,0.2036,0.1757
10-1_10_Video6_00103.jpg,L11_MSCA,Nerve,0.7731,0.2819,0.0081
10-1_10_Video6_00103.jpg,L15_C2CA,Nerve,0.7731,0.3301,0.0585
10-1_10_Video6_00103.jpg,L19_C2Triplet,Nerve,0.7731,0.0547,0.4986
10-1_10_Video6_00103.jpg,L23_C2Triplet,Nerve,0.7731,0.6109,0.0269
10-1_10_Video6_00103.jpg,L27_MSCA,Nerve,0.7731,0.0,
10-1_10_Video6_00103.jpg,L11_MSCA,IntervertebralDiscHerniation,0.0006,0.217,0.0297
10-1_10_Video6_00103.jpg,L15_C2CA,IntervertebralDiscHerniation,0.0006,0.3619,0.0267
10-1_10_Video6_00103.jpg,L19_C2Triplet,IntervertebralDiscHerniation,0.0006,0.2993,0.0237
10-1_10_Video6_00103.jpg,L23_C2Triplet,IntervertebralDiscHerniation,0.0006,0.4953,0.0468
10-1_10_Video6_00103.jpg,L27_MSCA,IntervertebralDiscHerniation,0.0006,0.0,
1_1_part1_Video1_06677.jpg,L11_MSCA,Ligament,0.9056,0.4682,0.1
1_1_part1_Video1_06677.jpg,L15_C2CA,Ligament,0.9056,0.3431,0.1408
1_1_part1_Video1_06677.jpg,L19_C2Triplet,Ligament,0.9056,0.5404,0.5504
1_1_part1_Video1_06677.jpg,L23_C2Triplet,Ligament,0.9056,0.2145,0.6427
1_1_part1_Video1_06677.jpg,L27_MSCA,Ligament,0.9056,0.1728,0.3787
9-1_Video5_24263.jpg,L11_MSCA,IntervertebralDisc,0.8631,0.3864,0.0194
9-1_Video5_24263.jpg,L15_C2CA,IntervertebralDisc,0.8631,0.302,0.2843
9-1_Video5_24263.jpg,L19_C2Triplet,IntervertebralDisc,0.8631,0.0937,0.1022
9-1_Video5_24263.jpg,L23_C2Triplet,IntervertebralDisc,0.8631,0.4745,0.052
9-1_Video5_24263.jpg,L27_MSCA,IntervertebralDisc,0.8631,0.2261,0.0559
9-1_Video5_24263.jpg,L11_MSCA,IntervertebralDiscHerniation,0.7886,0.1999,0.3023
9-1_Video5_24263.jpg,L15_C2CA,IntervertebralDiscHerniation,0.7886,0.3507,0.1484
9-1_Video5_24263.jpg,L19_C2Triplet,IntervertebralDiscHerniation,0.7886,0.6181,0.209
9-1_Video5_24263.jpg,L23_C2Triplet,IntervertebralDiscHerniation,0.7886,0.261,0.4059
9-1_Video5_24263.jpg,L27_MSCA,IntervertebralDiscHerniation,0.7886,0.0,
9-1_Video5_24320.jpg,L11_MSCA,IntervertebralDisc,0.4274,0.4633,0.0814
9-1_Video5_24320.jpg,L15_C2CA,IntervertebralDisc,0.4274,0.3937,0.3959
9-1_Video5_24320.jpg,L19_C2Triplet,IntervertebralDisc,0.4274,0.2076,0.5834
9-1_Video5_24320.jpg,L23_C2Triplet,IntervertebralDisc,0.4274,0.1625,0.2539
9-1_Video5_24320.jpg,L27_MSCA,IntervertebralDisc,0.4274,0.3357,0.1243
9-1_Video5_24320.jpg,L11_MSCA,Nerve,0.7621,0.3765,0.0009
9-1_Video5_24320.jpg,L15_C2CA,Nerve,0.7621,0.2936,0.0128
9-1_Video5_24320.jpg,L19_C2Triplet,Nerve,0.7621,0.2257,0.0217
9-1_Video5_24320.jpg,L23_C2Triplet,Nerve,0.7621,0.4512,0.0024
9-1_Video5_24320.jpg,L27_MSCA,Nerve,0.7621,0.0,
