config,row_label,col_label,value_row_norm,value_col_norm
Baseline,IntervertebralDisc,IntervertebralDisc,0.8264150943396227,0.9125
Baseline,IntervertebralDisc,Skeleton,0.0,0.0
Baseline,IntervertebralDisc,Ligament,0.0,0.0
Baseline,IntervertebralDisc,Muscle,0.0,0.0
Baseline,IntervertebralDisc,Nerve,0.0,0.0
Baseline,IntervertebralDisc,IntervertebralDiscHerniation,0.0,0.0
Baseline,IntervertebralDisc,background,0.17358490566037735,0.17898832684824903
Baseline,Skeleton,IntervertebralDisc,0.0,0.0
Baseline,Skeleton,Skeleton,0.7457627118644068,0.8571428571428571
Baseline,Skeleton,Ligament,0.02824858757062147,0.009057971014492754
Baseline,Skeleton,Muscle,0.005649717514124294,0.02127659574468085
Baseline,Skeleton,Nerve,0.005649717514124294,0.0017985611510791368
Baseline,Skeleton,IntervertebralDiscHerniation,0.0,0.0
Baseline,Skeleton,background,0.21468926553672316,0.14785992217898833
Baseline,Ligament,IntervertebralDisc,0.0016722408026755853,0.004166666666666667
Baseline,Ligament,Skeleton,0.0033444816053511705,0.012987012987012988
Baseline,Ligament,Ligament,0.8494983277591973,0.9202898550724637
Baseline,Ligament,Muscle,0.0033444816053511705,0.0425531914893617
Baseline,Ligament,Nerve,0.0033444816053511705,0.0035971223021582736
Baseline,Ligament,IntervertebralDiscHerniation,0.0016722408026755853,0.010869565217391304
Baseline,Ligament,background,0.13712374581939799,0.31906614785992216
Baseline,Muscle,IntervertebralDisc,0.0,0.0
Baseline,Muscle,Skeleton,0.0,0.0
Baseline,Muscle,Ligament,0.02,0.0018115942028985507
Baseline,Muscle,Muscle,0.78,0.8297872340425532
Baseline,Muscle,Nerve,0.02,0.0017985611510791368
Baseline,Muscle,IntervertebralDiscHerniation,0.0,0.0
Baseline,Muscle,background,0.18,0.03501945525291829
Baseline,Nerve,IntervertebralDisc,0.0,0.0
Baseline,Nerve,Skeleton,0.0018018018018018018,0.006493506493506494
Baseline,Nerve,Ligament,0.0018018018018018018,0.0018115942028985507
Baseline,Nerve,Muscle,0.0,0.0
Baseline,Nerve,Nerve,0.8900900900900901,0.8884892086330936
Baseline,Nerve,IntervertebralDiscHerniation,0.0,0.0
Baseline,Nerve,background,0.1063063063063063,0.22957198443579765
Baseline,IntervertebralDiscHerniation,IntervertebralDisc,0.009615384615384616,0.004166666666666667
Baseline,IntervertebralDiscHerniation,Skeleton,0.0,0.0
Baseline,IntervertebralDiscHerniation,Ligament,0.0,0.0
Baseline,IntervertebralDiscHerniation,Muscle,0.0,0.0
Baseline,IntervertebralDiscHerniation,Nerve,0.0,0.0
Baseline,IntervertebralDiscHerniation,IntervertebralDiscHerniation,0.7692307692307693,0.8695652173913043
Baseline,IntervertebralDiscHerniation,background,0.22115384615384615,0.08949416342412451
Baseline,background,IntervertebralDisc,0.12751677852348994,0.07916666666666666
Baseline,background,Skeleton,0.12751677852348994,0.12337662337662338
Baseline,background,Ligament,0.2483221476510067,0.06702898550724638
Baseline,background,Muscle,0.03355704697986577,0.10638297872340426
Baseline,background,Nerve,0.38926174496644295,0.10431654676258993
Baseline,background,IntervertebralDiscHerniation,0.0738255033557047,0.11956521739130435
Baseline,background,background,0.0,0.0
Hybrid-L15CA,IntervertebralDisc,IntervertebralDisc,0.8479087452471483,0.9291666666666667
Hybrid-L15CA,IntervertebralDisc,Skeleton,0.0,0.0
Hybrid-L15CA,IntervertebralDisc,Ligament,0.0,0.0
Hybrid-L15CA,IntervertebralDisc,Muscle,0.0,0.0
Hybrid-L15CA,IntervertebralDisc,Nerve,0.0,0.0
Hybrid-L15CA,IntervertebralDisc,IntervertebralDiscHerniation,0.0038022813688212928,0.010869565217391304
Hybrid-L15CA,IntervertebralDisc,background,0.1482889733840304,0.15918367346938775
Hybrid-L15CA,Skeleton,IntervertebralDisc,0.0,0.0
Hybrid-L15CA,Skeleton,Skeleton,0.7666666666666667,0.8961038961038961
Hybrid-L15CA,Skeleton,Ligament,0.016666666666666666,0.005434782608695652
Hybrid-L15CA,Skeleton,Muscle,0.005555555555555556,0.02127659574468085
Hybrid-L15CA,Skeleton,Nerve,0.005555555555555556,0.0017985611510791368
Hybrid-L15CA,Skeleton,IntervertebralDiscHerniation,0.0,0.0
Hybrid-L15CA,Skeleton,background,0.20555555555555555,0.1510204081632653
Hybrid-L15CA,Ligament,IntervertebralDisc,0.001694915254237288,0.004166666666666667
Hybrid-L15CA,Ligament,Skeleton,0.003389830508474576,0.012987012987012988
Hybrid-L15CA,Ligament,Ligament,0.8661016949152542,0.9257246376811594
Hybrid-L15CA,Ligament,Muscle,0.0,0.0
Hybrid-L15CA,Ligament,Nerve,0.005084745762711864,0.00539568345323741
Hybrid-L15CA,Ligament,IntervertebralDiscHerniation,0.003389830508474576,0.021739130434782608
Hybrid-L15CA,Ligament,background,0.12033898305084746,0.2897959183673469
Hybrid-L15CA,Muscle,IntervertebralDisc,0.0,0.0
