config,preprocess_ms,inference_ms,postprocess_ms,total_ms,fps
Baseline,0.2831352812780952,6.3147073455770775,2.0146838894697585,8.61252651632493,118.42484091525607
Full-CA,0.30733407370977894,5.553111446965572,1.7371254469684332,7.597570967643783,131.68352039295254
Full-Triplet,0.30586024881490775,5.547834304252571,2.0150828019400397,7.868777355007519,127.28315191487043
Hybrid-ECA,0.590487244197764,6.220308129046936,1.8265079354227858,8.637303308667487,122.1415896621282
Hybrid-L15CA,0.3617196221844495,6.820684009175833,2.4244014010389128,9.606805032399196,112.01743232151799
Hybrid-L27CA,0.43383299533496633,9.852134257920884,4.052130866319388,14.338098119575239,70.83437710177584
Hybrid-MSCA,0.2980263224987459,5.81436776953067,1.7016577973697884,7.814051889399204,128.02775520805298
L19-Triplet,0.3113285161786571,6.518118626787863,2.4063949308557704,9.23584207382229,108.36274526334975
L23-Triplet,0.2958315391842413,6.396241253300909,2.2938939815919315,8.985966774077081,111.43811531420764
L27-Triplet,0.32506892173272056,6.3293956313872375,2.2157045804856836,8.870169133605641,112.93490151719406
