position,mechanism,delta_pct
L11,BiFormer,-2.5641624069631868
L11,CA,-2.3280762761789493
L11,GC,-0.03766694662658111
L11,SimAM,-2.706882959718292
L11,Triplet,-2.075406245733326
L15,BiFormer,0.9463114987761468
L15,CA,1.3540417014328059
L15,ECA,-1.5519105509176678
L15,GC,-0.4232111309361143
L15,Triplet,0.23757126441954612
L19,CA,0.6666718786085906
L19,ECA,1.898437562672934
L19,Triplet,1.6380030408752133
L23,CA,0.8650847364717011
L23,GC,1.205472646818615
L23,SimAM,2.01632647176954
L23,Triplet,2.771141880308825
L27,CA,0.5108740500115118
L27,GC,-1.5384414723541964
L27,SimAM,-1.8606401791236638
L27,Triplet,-3.0958032017170565
