config,seed,class_name,map50_95
Baseline,1,Disc,0.589365166208401
Baseline,1,Skeleton,0.5458040121424627
Baseline,1,Ligament,0.6247597948428318
Baseline,1,Muscle,0.5608701055493841
Baseline,1,Nerve,0.6054781353214106
Baseline,1,Herniation,0.4824799225967397
Baseline,2,Disc,0.5964943464365432
Baseline,2,Skeleton,0.5696442796057555
Baseline,2,Ligament,0.6211229583762548
Baseline,2,Muscle,0.5644630724187999
Baseline,2,Nerve,0.6069972955926574
Baseline,2,Herniation,0.4925343066477411
Baseline,3,Disc,0.5976572814226535
Baseline,3,Skeleton,0.5682155130689748
Baseline,3,Ligament,0.63799409214625
Baseline,3,Muscle,0.5679023449358981
Baseline,3,Nerve,0.6140447523346472
Baseline,3,Herniation,0.48013716966662096
Baseline,4,Disc,0.5912672299035286
Baseline,4,Skeleton,0.5639448723740779
Baseline,4,Ligament,0.6309908545081346
Baseline,4,Muscle,0.5807223087435756
Baseline,4,Nerve,0.6146550102111438
Baseline,4,Herniation,0.48872478232051025
Baseline,5,Disc,0.5852252483626347
Baseline,5,Skeleton,0.5718107178850989
Baseline,5,Ligament,0.6292134492152311
Baseline,5,Muscle,0.577582298683493
Baseline,5,Nerve,0.6047504675003983
Baseline,5,Herniation,0.4779629285225447
Baseline,6,Disc,0.5900110073738192
Baseline,6,Skeleton,0.5619096379773958
Baseline,6,Ligament,0.6226589374306564
Baseline,6,Muscle,0.5880711432722014
Baseline,6,Nerve,0.6071366998732122
Baseline,6,Herniation,0.51202942802249
Baseline,7,Disc,0.6027636134288517
Baseline,7,Skeleton,0.5526211457621333
Baseline,7,Ligament,0.6298462394219542
Baseline,7,Muscle,0.5937811924988445
Baseline,7,Nerve,0.6117377087121459
Baseline,7,Herniation,0.46057074287383903
Baseline,8,Disc,0.5897794315154996
Baseline,8,Skeleton,0.5513425891000779
Baseline,8,Ligament,0.6272824039536069
Baseline,8,Muscle,0.5563559508221612
Baseline,8,Nerve,0.6057463594805382
Baseline,8,Herniation,0.488512859899494
Baseline,9,Disc,0.5895135616931484
Baseline,9,Skeleton,0.55409726354992
Baseline,9,Ligament,0.6270343455561177
Baseline,9,Muscle,0.5737291192114493
Baseline,9,Nerve,0.6159943389212069
Baseline,9,Herniation,0.48322927652568054
