config,seed,class_name,map50_95
Baseline,1,IntervertebralDisc,0.589365166208401
Baseline,1,Skeleton,0.5458040121424627
Baseline,1,Ligament,0.6247597948428318
Baseline,1,Muscle,0.5608701055493841
Baseline,1,Nerve,0.6054781353214106
Baseline,1,IntervertebralDiscHerniation,0.4824799225967397
Baseline,2,IntervertebralDisc,0.5964943464365432
Baseline,2,Skeleton,0.5696442796057555
Baseline,2,Ligament,0.6211229583762548
Baseline,2,Muscle,0.5644630724187999
Baseline,2,Nerve,0.6069972955926574
Baseline,2,IntervertebralDiscHerniation,0.4925343066477411
Baseline,3,IntervertebralDisc,0.5976572814226535
Baseline,3,Skeleton,0.5682155130689748
Baseline,3,Ligament,0.63799409214625
Baseline,3,Muscle,0.5679023449358981
Baseline,3,Nerve,0.6140447523346472
Baseline,3,IntervertebralDiscHerniation,0.48013716966662096
Baseline,4,IntervertebralDisc,0.5912672299035286
Baseline,4,Skeleton,0.5639448723740779
Baseline,4,Ligament,0.6309908545081346
Baseline,4,Muscle,0.5807223087435756
Baseline,4,Nerve,0.6146550102111438
Baseline,4,IntervertebralDiscHerniation,0.48872478232051025
Baseline,5,IntervertebralDisc,0.5852252483626347
Baseline,5,Skeleton,0.5718107178850989
Baseline,5,Ligament,0.6292134492152311
Baseline,5,Muscle,0.577582298683493
Baseline,5,Nerve,0.6047504675003983
Baseline,5,IntervertebralDiscHerniation,0.4779629285225447
Baseline,6,IntervertebralDisc,0.5900110073738192
Baseline,6,Skeleton,0.5619096379773958
Baseline,6,Ligament,0.6226589374306564
Baseline,6,Muscle,0.5880711432722014
Baseline,6,Nerve,0.6071366998732122
Baseline,6,IntervertebralDiscHerniation,0.51202942802249
Baseline,7,IntervertebralDisc,0.6027636134288517
Baseline,7,Skeleton,0.5526211457621333
Baseline,7,Ligament,0.6298462394219542
Baseline,7,Muscle,0.5937811924988445
Baseline,7,Nerve,0.6117377087121459
Baseline,7,IntervertebralDiscHerniation,0.46057074287383903
Baseline,8,IntervertebralDisc,0.5897794315154996
Baseline,8,Skeleton,0.5513425891000779
Baseline,8,Ligament,0.6272824039536069
Baseline,8,Muscle,0.5563559508221612
Baseline,8,Nerve,0.6057463594805382
Baseline,8,IntervertebralDiscHerniation,0.488512859899494
Baseline,9,IntervertebralDisc,0.5895135616931484
Baseline,9,Skeleton,0.55409726354992
Baseline,9,Ligament,0.6270343455561177
Baseline,9,Muscle,0.5737291192114493
Baseline,9,Nerve,0.6159943389212069
Baseline,9,IntervertebralDiscHerniation,0.48322927652568054
Baseline,10,IntervertebralDisc,0.6073987625285324
Baseline,10,Skeleton,0.5655225484179038
Baseline,10,Ligament,0.6367132801582234
Baseline,10,Muscle,0.5662418215062965
Baseline,10,Nerve,0.6120236926854822
Baseline,10,IntervertebralDiscHerniation,0.4795507554024421
L19-Triplet,1,IntervertebralDisc,0.604602895263676
L19-Triplet,1,Skeleton,0.5692390815862904
L19-Triplet,1,Ligament,0.6351521391455004
L19-Triplet,1,Muscle,0.5777285907371443
L19-Triplet,1,Nerve,0.6010178440859383
L19-Triplet,1,IntervertebralDiscHerniation,0.4921637069350465
L19-Triplet,2,IntervertebralDisc,0.6071452163300615
L19-Triplet,2,Skeleton,0.5727532002421525
L19-Triplet,2,Ligament,0.6391572720770226
L19-Triplet,2,Muscle,0.5890987605871487
L19-Triplet,2,Nerve,0.6104320842367557
L19-Triplet,2,IntervertebralDiscHerniation,0.49020069604886674
L19-Triplet,3,IntervertebralDisc,0.6220641598839982
L19-Triplet,3,Skeleton,0.5706262928032111
L19-Triplet,3,Ligament,0.6396117137687546
L19-Triplet,3,Muscle,0.6087155828773476
L19-Triplet,3,Nerve,0.6133261008208407
L19-Triplet,3,IntervertebralDiscHerniation,0.48430364310049984
L19-Triplet,4,IntervertebralDisc,0.5980732577172716
