config,n_seeds,mean_map,std_map,cv_pct,avg_epoch_time_s,raw_maps
Baseline,10,0.5757779999999999,0.003710318345131889,0.6444008533031637,153.51461212121214,"[0.56909, 0.57574, 0.57803, 0.57951, 0.5745, 0.58077, 0.57629, 0.57062, 0.57498, 0.57825]"
L19-Triplet,10,0.580887,0.005274637533623619,0.908031602295045,161.16362424242422,"[0.58013, 0.58404, 0.58948, 0.58444, 0.57787, 0.58382, 0.5745, 0.58, 0.58314, 0.57145]"
L23-Triplet,10,0.583517,0.0038796937164334655,0.6648810088538065,172.79803131313128,"[0.5816, 0.58066, 0.58416, 0.58802, 0.59042, 0.57641, 0.58315, 0.5824, 0.58305, 0.5853]"
L27-Triplet,10,0.576289,0.010028686022272955,1.7402181930026346,196.10616161616161,"[0.57391, 0.57135, 0.59088, 0.58061, 0.56422, 0.57494, 0.57171, 0.56143, 0.58316, 0.59068]"
Hybrid-MSCA,10,0.589135,0.004903844863415281,0.8323805008046171,168.53080606060604,"[0.57879, 0.59131, 0.59368, 0.59516, 0.59338, 0.58769, 0.58861, 0.58417, 0.58813, 0.59043]"
Hybrid-ECA,10,0.587448,0.006403890831188326,1.0901204585237037,139.03184242424243,"[0.58581, 0.58928, 0.59723, 0.58938, 0.59109, 0.57568, 0.58875, 0.57855, 0.5928, 0.58591]"
Hybrid-L27CA,10,0.5885259999999999,0.006357134574633455,1.0801790531995963,155.07019595959594,"[0.57863, 0.58673, 0.59846, 0.5934, 0.58753, 0.57937, 0.59106, 0.5851, 0.59418, 0.5908]"
Hybrid-L15CA,10,0.592144,0.005610387588116257,0.9474701403908943,163.17093333333332,"[0.58651, 0.60346, 0.587, 0.59444, 0.5928, 0.58516, 0.589, 0.59384, 0.59758, 0.59165]"
Full-Triplet,10,0.591566,0.005465632422490353,0.9239260576994541,153.75299191919194,"[0.58641, 0.58918, 0.59851, 0.5839, 0.59451, 0.59623, 0.59948, 0.58559, 0.59086, 0.59099]"
Full-CA,10,0.5923010000000001,0.006746275433320374,1.1389944358223898,133.475798989899,"[0.58174, 0.58957, 0.5929, 0.59347, 0.60574, 0.58803, 0.58817, 0.59272, 0.59012, 0.60055]"
