epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,config,seed
1,166.157,2.64354,4.58159,3.72529,3.16645,0.62089,0.14306,0.1392,0.05632,0.79097,0.12477,0.12074,0.03749,2.00449,3.83508,2.52378,2.35361,0.000332993,0.000332993,0.000332993,Baseline,1
2,319.921,1.97823,3.54597,2.6244,2.22657,0.71755,0.22275,0.22588,0.1066,0.70017,0.20066,0.19841,0.07917,1.81653,3.51766,2.21251,2.07291,0.00065973,0.00065973,0.00065973,Baseline,1
3,472.781,1.82478,3.31949,2.29848,2.01894,0.59176,0.29807,0.28581,0.14438,0.59613,0.26945,0.25211,0.11379,1.72239,3.19046,2.00729,1.97951,0.000979866,0.000979866,0.000979866,Baseline,1
4,627.668,1.74995,3.20252,2.13712,1.93397,0.63196,0.28337,0.30508,0.15617,0.62398,0.26543,0.27255,0.11848,1.67947,3.24394,1.99241,1.91262,0.0009703,0.0009703,0.0009703,Baseline,1
5,779.79,1.69357,3.10624,2.04542,1.87303,0.68608,0.28412,0.3532,0.17687,0.71793,0.26636,0.31898,0.14521,1.71104,3.1233,1.90634,1.91075,0.0009604,0.0009604,0.0009604,Baseline,1
6,935.906,1.64048,2.99278,1.94054,1.81778,0.51643,0.36168,0.3699,0.19173,0.50408,0.34257,0.35174,0.16021,1.64719,2.96696,1.84357,1.84449,0.0009505,0.0009505,0.0009505,Baseline,1
7,1094.5,1.61619,2.94292,1.87085,1.7811,0.58287,0.39163,0.40496,0.21095,0.68155,0.31851,0.36465,0.17198,1.59179,2.87587,1.69634,1.78569,0.0009406,0.0009406,0.0009406,Baseline,1
8,1247.52,1.58095,2.88422,1.8395,1.76204,0.67702,0.38957,0.43609,0.24627,0.69708,0.3418,0.39959,0.18765,1.49672,2.75979,1.57628,1.73381,0.0009307,0.0009307,0.0009307,Baseline,1
9,1401.42,1.55139,2.83559,1.75532,1.72621,0.56341,0.43216,0.44109,0.24543,0.55739,0.37236,0.4074,0.19006,1.53626,2.81189,1.54308,1.75556,0.0009208,0.0009208,0.0009208,Baseline,1
10,1565.34,1.52939,2.77494,1.70513,1.70743,0.74062,0.39105,0.4604,0.24873,0.7344,0.37542,0.44344,0.20947,1.53852,2.67616,1.53337,1.73298,0.0009109,0.0009109,0.0009109,Baseline,1
11,1734.4,1.52338,2.75531,1.68373,1.6963,0.41486,0.48319,0.48628,0.25894,0.38326,0.45455,0.45385,0.21148,1.59356,2.75678,1.57057,1.76378,0.000901,0.000901,0.000901,Baseline,1
12,1903.23,1.48734,2.71343,1.66045,1.66963,0.52962,0.54392,0.53455,0.30529,0.49853,0.51545,0.49953,0.2493,1.45871,2.55706,1.4351,1.67144,0.0008911,0.0008911,0.0008911,Baseline,1
13,2066.08,1.47407,2.66563,1.61603,1.65741,0.65982,0.49384,0.55377,0.30804,0.65928,0.46532,0.52399,0.25878,1.47123,2.58903,1.3895,1.65427,0.0008812,0.0008812,0.0008812,Baseline,1
14,2225.91,1.45482,2.63517,1.57275,1.63402,0.54323,0.52392,0.52268,0.27404,0.53085,0.50258,0.49347,0.24033,1.56252,2.59981,1.47629,1.71456,0.0008713,0.0008713,0.0008713,Baseline,1
15,2391.05,1.44445,2.5961,1.54906,1.62353,0.58854,0.57128,0.58325,0.33762,0.5665,0.55203,0.55441,0.27249,1.41686,2.5344,1.36192,1.63792,0.0008614,0.0008614,0.0008614,Baseline,1
16,2548.61,1.42354,2.57023,1.52265,1.60543,0.61035,0.56281,0.59534,0.34733,0.60619,0.53992,0.57361,0.29518,1.41837,2.45637,1.32492,1.62914,0.0008515,0.0008515,0.0008515,Baseline,1
17,2703.02,1.40891,2.53984,1.49064,1.59613,0.63795,0.59634,0.62518,0.35747,0.6253,0.57468,0.60341,0.30173,1.39623,2.47518,1.31648,1.60648,0.0008416,0.0008416,0.0008416,Baseline,1
18,2864.69,1.40637,2.5235,1.47117,1.58097,0.58673,0.56328,0.59021,0.33598,0.61272,0.55796,0.5812,0.28673,1.44581,2.51283,1.34858,1.65135,0.0008317,0.0008317,0.0008317,Baseline,1
19,3022.69,1.39667,2.52397,1.47213,1.57261,0.65035,0.58142,0.61587,0.35714,0.63835,0.56098,0.58601,0.29713,1.40137,2.46633,1.29483,1.60341,0.0008218,0.0008218,0.0008218,Baseline,1
